Model,Criterion,Max Depth,Accuracy,Precision,Recall,F1-score
Decision Tree,gini,3,0.7969748048261178,0.9604059781396387,0.6710044416738097,0.7900362401945044
Decision Tree,gini,5,0.7940915542938254,0.9615688042375746,0.6648484376217564,0.7861420805307289
Decision Tree,gini,10,0.7850869410929737,0.9675719971903536,0.6440427024078548,0.7733333333333333
Decision Tree,gini,15,0.7830908445706175,0.958338141950375,0.647081742382919,0.7725369801842031
Decision Tree,gini,20,0.7915188076650106,0.9656475437993817,0.6571339515312086,0.78206436056756
Decision Tree,gini,None,0.7854418026969482,0.9647756335735875,0.6466921218732954,0.7743410310240261
Decision Tree,entropy,3,0.8444819020581973,0.9521085797382453,0.7652926050027273,0.8485398306549162
Decision Tree,entropy,5,0.7802075940383251,0.9647239263803681,0.6371853814384789,0.7674691444929372
Decision Tree,entropy,10,0.7849095102909865,0.9672284644194756,0.64396477830593,0.7731674229311877
Decision Tree,entropy,15,0.7796753016323634,0.9584984844952203,0.6406919660250916,0.7680164401475877
Decision Tree,entropy,20,0.7772799858055358,0.9645575642245481,0.6319644666095223,0.7636175321312556
Decision Tree,entropy,None,0.7772799858055358,0.9645575642245481,0.6319644666095223,0.7636175321312556
