Feature,Importance
src_bytes,0.7059573032222951
service_ecr_i,0.10077279751855552
diff_srv_rate,0.09152217647716608
service_http,0.048613229570452554
hot,0.04556640709965659
dst_bytes,0.007568086111874131
urgent,0.0
num_failed_logins,0.0
wrong_fragment,0.0
duration,0.0
root_shell,0.0
su_attempted,0.0
num_root,0.0
num_file_creations,0.0
num_shells,0.0
num_access_files,0.0
num_outbound_cmds,0.0
is_host_login,0.0
is_guest_login,0.0
count,0.0
srv_count,0.0
serror_rate,0.0
srv_serror_rate,0.0
rerror_rate,0.0
logged_in,0.0
land,0.0
same_srv_rate,0.0
srv_rerror_rate,0.0
dst_host_count,0.0
srv_diff_host_rate,0.0
dst_host_same_srv_rate,0.0
dst_host_diff_srv_rate,0.0
dst_host_same_src_port_rate,0.0
dst_host_srv_count,0.0
dst_host_serror_rate,0.0
dst_host_srv_serror_rate,0.0
dst_host_rerror_rate,0.0
dst_host_srv_rerror_rate,0.0
protocol_type_icmp,0.0
protocol_type_tcp,0.0
protocol_type_udp,0.0
dst_host_srv_diff_host_rate,0.0
service_IRC,0.0
service_X11,0.0
service_aol,0.0
service_Z39_50,0.0
service_bgp,0.0
service_courier,0.0
service_csnet_ns,0.0
service_auth,0.0
service_ctf,0.0
service_daytime,0.0
service_domain,0.0
service_discard,0.0
service_domain_u,0.0
service_echo,0.0
service_eco_i,0.0
num_compromised,0.0
service_efs,0.0
service_exec,0.0
service_ftp,0.0
service_finger,0.0
service_ftp_data,0.0
service_gopher,0.0
service_harvest,0.0
service_hostnames,0.0
service_http_2784,0.0
service_http_443,0.0
service_http_8001,0.0
service_imap4,0.0
service_iso_tsap,0.0
service_klogin,0.0
service_kshell,0.0
service_ldap,0.0
service_link,0.0
service_login,0.0
service_mtp,0.0
service_name,0.0
service_netbios_dgm,0.0
service_netbios_ns,0.0
service_netbios_ssn,0.0
service_netstat,0.0
service_nnsp,0.0
service_nntp,0.0
service_ntp_u,0.0
service_other,0.0
service_pm_dump,0.0
service_pop_2,0.0
service_pop_3,0.0
service_printer,0.0
service_private,0.0
service_red_i,0.0
service_remote_job,0.0
service_rje,0.0
service_shell,0.0
service_smtp,0.0
service_sql_net,0.0
service_ssh,0.0
service_sunrpc,0.0
service_supdup,0.0
service_systat,0.0
service_telnet,0.0
service_tftp_u,0.0
service_tim_i,0.0
service_time,0.0
service_urh_i,0.0
service_urp_i,0.0
service_uucp,0.0
service_uucp_path,0.0
service_vmnet,0.0
service_whois,0.0
flag_OTH,0.0
flag_REJ,0.0
flag_RSTO,0.0
flag_RSTOS0,0.0
flag_RSTR,0.0
flag_S0,0.0
flag_S1,0.0
flag_S2,0.0
flag_S3,0.0
flag_SF,0.0
flag_SH,0.0
